Geography,Quarter,Gender,Measure Type,Unit,Value
S12000008,2017-Q3,Male,Count,People,28800
S12000010,2017-Q3,All,Count,People,51200
S12000010,2017-Q3,Male,Count,People,25400
S12000010,2017-Q3,Female,Count,People,25800
S12000011,2017-Q3,Female,Count,People,21000
S12000011,2017-Q3,All,Count,People,44000
S12000011,2017-Q3,Male,Count,People,23000
S12000013,2017-Q3,Female,Count,People,6200
S12000013,2017-Q3,All,Count,People,13200
S12000013,2017-Q3,Male,Count,People,7000
S12000014,2017-Q3,All,Count,People,77800
S12000014,2017-Q3,Male,Count,People,41100
S12000014,2017-Q3,Female,Count,People,36700
S12000017,2017-Q3,Male,Count,People,61200
S12000017,2017-Q3,All,Count,People,118500
S12000017,2017-Q3,Female,Count,People,57400
S12000018,2017-Q3,Female,Count,People,18600
S12000018,2017-Q3,All,Count,People,36400
S12000018,2017-Q3,Male,Count,People,17800
S12000019,2017-Q3,All,Count,People,44000
S12000019,2017-Q3,Male,Count,People,22300
S12000019,2017-Q3,Female,Count,People,21700
S12000020,2017-Q3,Male,Count,People,23800
S12000020,2017-Q3,All,Count,People,45000
S12000020,2017-Q3,Female,Count,People,21200
S12000021,2017-Q3,All,Count,People,57100
S12000021,2017-Q3,Male,Count,People,29800
S12000021,2017-Q3,Female,Count,People,27300
S12000023,2017-Q3,Male,Count,People,6300
S12000023,2017-Q3,Female,Count,People,5900
S12000023,2017-Q3,All,Count,People,12200
S12000026,2017-Q3,All,Count,People,53300
S12000026,2017-Q3,Male,Count,People,27900
S12000026,2017-Q3,Female,Count,People,25400
S12000027,2017-Q3,Male,Count,People,6400
S12000027,2017-Q3,Female,Count,People,6300
S12000027,2017-Q3,All,Count,People,12700
S12000028,2017-Q3,Female,Count,People,24800
S12000028,2017-Q3,Male,Count,People,26200
S12000028,2017-Q3,All,Count,People,51000
S12000029,2017-Q3,Female,Count,People,76400
S12000029,2017-Q3,Male,Count,People,79900
S12000029,2017-Q3,All,Count,People,156300
S12000030,2017-Q3,Female,Count,People,22100
S12000030,2017-Q3,Male,Count,People,22600
S12000030,2017-Q3,All,Count,People,44700
S12000033,2017-Q3,Female,Count,People,57600
S12000033,2017-Q3,Male,Count,People,64400
S12000033,2017-Q3,All,Count,People,122000
S12000034,2017-Q3,All,Count,People,136100
S12000034,2017-Q3,Male,Count,People,73500
S12000034,2017-Q3,Female,Count,People,62600
S12000035,2017-Q3,All,Count,People,41000
S12000035,2017-Q3,Male,Count,People,22100
S12000035,2017-Q3,Female,Count,People,18900
S12000036,2017-Q3,All,Count,People,266900
S12000036,2017-Q3,Male,Count,People,130700
S12000036,2017-Q3,Female,Count,People,136200
S12000038,2017-Q3,All,Count,People,85600
S12000038,2017-Q3,Male,Count,People,42900
S12000038,2017-Q3,Female,Count,People,42700
S12000041,2017-Q3,All,Count,People,54500
S12000041,2017-Q3,Male,Count,People,27900
S12000041,2017-Q3,Female,Count,People,26600
S12000042,2017-Q3,Male,Count,People,30100
S12000042,2017-Q3,All,Count,People,64400
S12000042,2017-Q3,Female,Count,People,34300
S12000044,2017-Q3,All,Count,People,162200
S12000044,2017-Q3,Female,Count,People,80300
S12000044,2017-Q3,Male,Count,People,82000
S12000045,2017-Q3,All,Count,People,51500
S12000045,2017-Q3,Female,Count,People,25400
S12000045,2017-Q3,Male,Count,People,26200
S12000046,2017-Q3,All,Count,People,277000
S12000046,2017-Q3,Female,Count,People,135300
S12000046,2017-Q3,Male,Count,People,141700
S12000047,2017-Q3,Male,Count,People,91900
S12000047,2017-Q3,All,Count,People,174600
S12000047,2017-Q3,Female,Count,People,82700
S12000048,2017-Q3,Female,Count,People,34500
S12000048,2017-Q3,Male,Count,People,39500
S12000048,2017-Q3,All,Count,People,73900
S12000039,2017-Q4,Male,Count,People,20200
S12000039,2017-Q4,Female,Count,People,21300
S12000039,2017-Q4,All,Count,People,41400
S12000040,2017-Q4,All,Count,People,90400
S12000040,2017-Q4,Male,Count,People,47100
S12000040,2017-Q4,Female,Count,People,43300
S12000005,2017-Q4,All,Count,People,23600
S12000005,2017-Q4,Male,Count,People,12400
S12000005,2017-Q4,Female,Count,People,11300
S12000006,2017-Q4,All,Count,People,70600
S12000006,2017-Q4,Male,Count,People,36800
S12000006,2017-Q4,Female,Count,People,33900
S12000008,2017-Q4,All,Count,People,55000
S12000008,2017-Q4,Male,Count,People,28600
S12000008,2017-Q4,Female,Count,People,26400
S12000010,2017-Q4,Female,Count,People,25100
S12000010,2017-Q4,Male,Count,People,25400
S12000010,2017-Q4,All,Count,People,50600
S12000011,2017-Q4,Female,Count,People,21400
S12000011,2017-Q4,All,Count,People,44500
S12000011,2017-Q4,Male,Count,People,23000
S12000013,2017-Q4,Male,Count,People,7000
S12000013,2017-Q4,Female,Count,People,6100
S12000013,2017-Q4,All,Count,People,13200
S12000014,2017-Q4,All,Count,People,77500
S12000014,2017-Q4,Male,Count,People,40500
S12000014,2017-Q4,Female,Count,People,37000
S12000017,2017-Q4,Female,Count,People,58600
S12000017,2017-Q4,All,Count,People,120700
S12000017,2017-Q4,Male,Count,People,62100
S12000018,2017-Q4,Male,Count,People,17900
S12000018,2017-Q4,All,Count,People,36000
S12000018,2017-Q4,Female,Count,People,18100
S12000019,2017-Q4,Female,Count,People,22700
S12000019,2017-Q4,Male,Count,People,22100
S12000019,2017-Q4,All,Count,People,44800
S12000020,2017-Q4,Female,Count,People,21400
S12000020,2017-Q4,Male,Count,People,23800
S12000020,2017-Q4,All,Count,People,45200
S12000021,2017-Q4,Female,Count,People,27400
S12000021,2017-Q4,Male,Count,People,29700
S12000021,2017-Q4,All,Count,People,57100
S12000023,2017-Q4,Female,Count,People,5700
S12000023,2017-Q4,All,Count,People,12200
S12000023,2017-Q4,Male,Count,People,6500
S12000026,2017-Q4,Female,Count,People,25200
S12000026,2017-Q4,All,Count,People,53500
S12000026,2017-Q4,Male,Count,People,28300
S12000027,2017-Q4,Male,Count,People,6300
S12000027,2017-Q4,Female,Count,People,6100
S12000027,2017-Q4,All,Count,People,12400
S12000028,2017-Q4,Male,Count,People,25500
S12000028,2017-Q4,Female,Count,People,25100
S12000028,2017-Q4,All,Count,People,50600
S12000029,2017-Q4,Female,Count,People,75800
S12000029,2017-Q4,All,Count,People,153300
S12000029,2017-Q4,Male,Count,People,77500
S12000030,2017-Q4,Male,Count,People,22400
S12000030,2017-Q4,Female,Count,People,22000
