Date,Establishment,Value,Comparator,Attainment Distribution
2016,grp:390,992,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:390,1904,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:395,166,comparator:real-establishment,distribution:lowest-20pc
2016,grp:395,784,comparator:real-establishment,distribution:middle-60pc
2016,grp:395,1683,comparator:real-establishment,distribution:highest-20pc
2016,grp:395,163,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:395,768,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:395,1726,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:400,185,comparator:real-establishment,distribution:lowest-20pc
2016,grp:400,881,comparator:real-establishment,distribution:middle-60pc
2016,grp:400,1857,comparator:real-establishment,distribution:highest-20pc
2016,grp:400,155,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:400,810,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:400,1809,comparator:virtual-comparator,distribution:highest-20pc
2016,grp:900,752,comparator:real-establishment,distribution:lowest-20pc
2016,grp:900,1626,comparator:real-establishment,distribution:middle-60pc
2016,grp:900,2151,comparator:real-establishment,distribution:highest-20pc
2016,grp:900,482,comparator:virtual-comparator,distribution:lowest-20pc
2016,grp:900,1262,comparator:virtual-comparator,distribution:middle-60pc
2016,grp:900,2027,comparator:virtual-comparator,distribution:highest-20pc
2016,est:1002732,188,comparator:real-establishment,distribution:lowest-20pc
2016,est:1002732,830,comparator:real-establishment,distribution:middle-60pc
2016,est:1002732,1684,comparator:real-establishment,distribution:highest-20pc
2016,est:1002732,185,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:1002732,839,comparator:virtual-comparator,distribution:middle-60pc
2016,est:1002732,1795,comparator:virtual-comparator,distribution:highest-20pc
2016,est:5102030,108,comparator:real-establishment,distribution:lowest-20pc
2016,est:5102030,649,comparator:real-establishment,distribution:middle-60pc
2016,est:5102030,1732,comparator:real-establishment,distribution:highest-20pc
2016,est:5102030,176,comparator:virtual-comparator,distribution:lowest-20pc
2016,est:5102030,835,comparator:virtual-comparator,distribution:middle-60pc
