Time,EducationEstablishment,Unit,Measurement,Value,Comparator,Attainment Distribution
2016,5119138,Tariff Points,Average Total Tariff Score,1739,Real Establishment,Highest 20%
2016,5119138,Tariff Points,Average Total Tariff Score,221,Virtual Comparator,Lowest 20%
2016,5119138,Tariff Points,Average Total Tariff Score,902,Virtual Comparator,Middle 60%
2016,5119138,Tariff Points,Average Total Tariff Score,1816,Virtual Comparator,Highest 20%
2016,5119332,Tariff Points,Average Total Tariff Score,177,Real Establishment,Lowest 20%
2016,5119332,Tariff Points,Average Total Tariff Score,1159,Real Establishment,Middle 60%
2016,5119332,Tariff Points,Average Total Tariff Score,1856,Real Establishment,Highest 20%
2016,5119332,Tariff Points,Average Total Tariff Score,206,Virtual Comparator,Lowest 20%
2016,5119332,Tariff Points,Average Total Tariff Score,974,Virtual Comparator,Middle 60%
2016,5119332,Tariff Points,Average Total Tariff Score,1868,Virtual Comparator,Highest 20%
2016,5119634,Tariff Points,Average Total Tariff Score,87,Real Establishment,Lowest 20%
2016,5119634,Tariff Points,Average Total Tariff Score,704,Real Establishment,Middle 60%
2016,5119634,Tariff Points,Average Total Tariff Score,1646,Real Establishment,Highest 20%
2016,5119634,Tariff Points,Average Total Tariff Score,91,Virtual Comparator,Lowest 20%
2016,5119634,Tariff Points,Average Total Tariff Score,641,Virtual Comparator,Middle 60%
2016,5119634,Tariff Points,Average Total Tariff Score,1751,Virtual Comparator,Highest 20%
2016,5119839,Tariff Points,Average Total Tariff Score,38,Real Establishment,Lowest 20%
2016,5119839,Tariff Points,Average Total Tariff Score,722,Real Establishment,Middle 60%
2016,5119839,Tariff Points,Average Total Tariff Score,1762,Real Establishment,Highest 20%
2016,5119839,Tariff Points,Average Total Tariff Score,116,Virtual Comparator,Lowest 20%
2016,5119839,Tariff Points,Average Total Tariff Score,709,Virtual Comparator,Middle 60%
2016,5119839,Tariff Points,Average Total Tariff Score,1730,Virtual Comparator,Highest 20%
2016,5119936,Tariff Points,Average Total Tariff Score,394,Real Establishment,Lowest 20%
2016,5119936,Tariff Points,Average Total Tariff Score,1056,Real Establishment,Middle 60%
2016,5119936,Tariff Points,Average Total Tariff Score,1835,Real Establishment,Highest 20%
2016,5119936,Tariff Points,Average Total Tariff Score,237,Virtual Comparator,Lowest 20%
2016,5119936,Tariff Points,Average Total Tariff Score,916,Virtual Comparator,Middle 60%
2016,5119936,Tariff Points,Average Total Tariff Score,1829,Virtual Comparator,Highest 20%
2016,5120136,Tariff Points,Average Total Tariff Score,103,Real Establishment,Lowest 20%
2016,5120136,Tariff Points,Average Total Tariff Score,709,Real Establishment,Middle 60%
2016,5120136,Tariff Points,Average Total Tariff Score,1551,Real Establishment,Highest 20%
2016,5120136,Tariff Points,Average Total Tariff Score,126,Virtual Comparator,Lowest 20%
2016,5120136,Tariff Points,Average Total Tariff Score,711,Virtual Comparator,Middle 60%
2016,5120136,Tariff Points,Average Total Tariff Score,1687,Virtual Comparator,Highest 20%
2016,5123437,Tariff Points,Average Total Tariff Score,350,Real Establishment,Lowest 20%
2016,5123437,Tariff Points,Average Total Tariff Score,1128,Real Establishment,Middle 60%
2016,5123437,Tariff Points,Average Total Tariff Score,1939,Real Establishment,Highest 20%
2016,5123437,Tariff Points,Average Total Tariff Score,280,Virtual Comparator,Lowest 20%
2016,5123437,Tariff Points,Average Total Tariff Score,1066,Virtual Comparator,Middle 60%
2016,5123437,Tariff Points,Average Total Tariff Score,1882,Virtual Comparator,Highest 20%
2016,5128234,Tariff Points,Average Total Tariff Score,171,Real Establishment,Lowest 20%
2016,5128234,Tariff Points,Average Total Tariff Score,855,Real Establishment,Middle 60%
2016,5128234,Tariff Points,Average Total Tariff Score,1899,Real Establishment,Highest 20%
2016,5128234,Tariff Points,Average Total Tariff Score,166,Virtual Comparator,Lowest 20%
2016,5128234,Tariff Points,Average Total Tariff Score,829,Virtual Comparator,Middle 60%
2016,5128234,Tariff Points,Average Total Tariff Score,1736,Virtual Comparator,Highest 20%
2016,5135532,Tariff Points,Average Total Tariff Score,707,Real Establishment,Middle 60%
2016,5135532,Tariff Points,Average Total Tariff Score,853,Virtual Comparator,Middle 60%
2016,5135834,Tariff Points,Average Total Tariff Score,714,Real Establishment,Middle 60%
2016,5135834,Tariff Points,Average Total Tariff Score,953,Virtual Comparator,Middle 60%
2016,5135931,Tariff Points,Average Total Tariff Score,160,Real Establishment,Lowest 20%
2016,5135931,Tariff Points,Average Total Tariff Score,694,Real Establishment,Middle 60%
2016,5135931,Tariff Points,Average Total Tariff Score,1690,Real Establishment,Highest 20%
2016,5135931,Tariff Points,Average Total Tariff Score,137,Virtual Comparator,Lowest 20%
2016,5135931,Tariff Points,Average Total Tariff Score,745,Virtual Comparator,Middle 60%
2016,5135931,Tariff Points,Average Total Tariff Score,1751,Virtual Comparator,Highest 20%
2016,5142431,Tariff Points,Average Total Tariff Score,853,Real Establishment,Middle 60%
2016,5142431,Tariff Points,Average Total Tariff Score,983,Virtual Comparator,Middle 60%
2016,5142539,Tariff Points,Average Total Tariff Score,316,Real Establishment,Lowest 20%
2016,5142539,Tariff Points,Average Total Tariff Score,977,Real Establishment,Middle 60%
2016,5142539,Tariff Points,Average Total Tariff Score,1794,Real Establishment,Highest 20%
2016,5142539,Tariff Points,Average Total Tariff Score,240,Virtual Comparator,Lowest 20%
2016,5142539,Tariff Points,Average Total Tariff Score,951,Virtual Comparator,Middle 60%
2016,5142539,Tariff Points,Average Total Tariff Score,1880,Virtual Comparator,Highest 20%
2016,5142636,Tariff Points,Average Total Tariff Score,64,Real Establishment,Lowest 20%
2016,5142636,Tariff Points,Average Total Tariff Score,542,Real Establishment,Middle 60%
2016,5142636,Tariff Points,Average Total Tariff Score,1310,Real Establishment,Highest 20%
2016,5142636,Tariff Points,Average Total Tariff Score,116,Virtual Comparator,Lowest 20%
2016,5142636,Tariff Points,Average Total Tariff Score,625,Virtual Comparator,Middle 60%
2016,5142636,Tariff Points,Average Total Tariff Score,1612,Virtual Comparator,Highest 20%
2016,5142830,Tariff Points,Average Total Tariff Score,146,Real Establishment,Lowest 20%
2016,5142830,Tariff Points,Average Total Tariff Score,1101,Real Establishment,Middle 60%
2016,5142830,Tariff Points,Average Total Tariff Score,1942,Real Establishment,Highest 20%
2016,5142830,Tariff Points,Average Total Tariff Score,202,Virtual Comparator,Lowest 20%
2016,5142830,Tariff Points,Average Total Tariff Score,946,Virtual Comparator,Middle 60%
2016,5142830,Tariff Points,Average Total Tariff Score,1891,Virtual Comparator,Highest 20%
2016,5142938,Tariff Points,Average Total Tariff Score,169,Real Establishment,Lowest 20%
2016,5142938,Tariff Points,Average Total Tariff Score,955,Real Establishment,Middle 60%
2016,5142938,Tariff Points,Average Total Tariff Score,1891,Real Establishment,Highest 20%
2016,5142938,Tariff Points,Average Total Tariff Score,172,Virtual Comparator,Lowest 20%
